case	seeding	time	sne	cloudcover	prewetness	echomotion	rainfall
1	no	0	1.75	13.4	0.274	stationary	12.85
2	yes	1	2.70	37.9	1.267	moving	5.52
3	yes	3	4.10	3.9	0.198	stationary	6.29
4	no	4	2.35	5.3	0.526	moving	6.11
5	yes	6	4.25	7.1	0.250	moving	2.45
6	no	9	1.60	6.9	0.018	stationary	3.61
7	no	18	1.30	4.6	0.307	moving	0.47
8	no	25	3.35	4.9	0.194	moving	4.56
9	no	27	2.85	12.1	0.751	moving	6.35
10	yes	28	2.20	5.2	0.084	moving	5.06
11	yes	29	4.40	4.1	0.236	moving	2.76
12	yes	32	3.10	2.8	0.214	moving	4.05
13	no	33	3.95	6.8	0.796	moving	5.74
14	yes	35	2.90	3.0	0.124	moving	4.84
15	yes	38	2.05	7.0	0.144	moving	11.86
16	no	39	4.00	11.3	0.398	moving	4.45
17	no	53	3.35	4.2	0.237	stationary	3.66
18	yes	55	3.70	3.3	0.960	moving	4.22
19	no	56	3.80	2.2	0.230	moving	1.16
20	yes	59	3.40	6.5	0.142	stationary	5.45
21	yes	65	3.15	3.1	0.073	moving	2.02
22	no	68	3.15	2.6	0.136	moving	0.82
23	yes	82	4.01	8.3	0.123	moving	1.09
24	no	83	4.65	7.4	0.168	moving	0.28
